participateID,playerID,sportID,olympicID
1,613,29,2
2,7,18,8
3,208,26,14
4,380,13,4
5,832,5,20
6,229,23,12
7,292,14,17
8,248,35,4
9,42,21,22
10,968,56,14
11,839,41,11
12,791,33,10
13,267,35,8
14,443,18,2
15,252,35,2
16,566,18,7
17,708,46,22
18,709,9,19
19,171,11,3
20,835,55,23
21,154,1,1
22,578,10,18
23,567,8,20
24,947,30,10
25,58,55,1
26,66,18,1
27,316,1,9
28,179,12,22
29,70,46,7
30,798,8,2
31,845,35,15
32,491,59,28
33,508,26,15
34,712,53,20
35,109,54,22
36,832,1,15
37,917,4,15
38,797,27,8
39,615,32,12
40,609,16,8
41,419,12,9
42,226,50,13
43,229,26,25
44,88,28,17
45,946,47,10
46,981,47,3
47,818,20,13
48,432,17,9
49,514,41,8
50,311,42,4
51,620,14,8
52,545,10,3
53,967,19,21
54,638,14,13
55,627,48,23
56,126,24,25
57,484,13,28
58,974,36,25
59,766,59,3
60,25,45,11
61,690,8,11
62,453,20,4
63,131,19,6
64,553,19,9
65,279,9,14
66,293,18,23
67,323,3,20
68,998,25,18
69,539,14,11
70,221,9,28
71,123,43,17
72,751,37,5
73,303,28,15
74,686,33,14
75,469,40,6
76,472,2,8
77,380,27,1
78,55,23,26
79,161,30,21
80,204,28,26
81,444,54,22
82,294,5,25
83,277,49,25
84,20,37,4
85,758,8,10
86,336,52,6
87,14,35,22
88,429,33,21
89,707,34,5
90,782,58,18
91,510,15,28
92,690,3,9
93,704,10,21
94,371,21,12
95,662,24,23
96,189,47,24
97,526,8,5
98,187,18,16
99,386,44,26
100,493,25,3
101,93,9,2
102,736,34,2
103,887,22,17
104,912,34,20
105,758,12,22
106,499,31,9
107,656,19,11
108,22,19,18
109,601,5,8
110,677,56,27
111,411,12,23
112,71,58,6
113,171,35,11
114,743,15,12
115,627,14,24
116,646,25,26
117,911,58,28
118,991,25,7
119,780,3,17
120,460,15,12
121,818,25,19
122,945,54,11
123,288,3,25
124,222,10,7
125,908,11,1
126,905,60,6
127,709,46,3
128,800,29,27
129,97,52,4
130,911,51,4
131,452,59,6
132,213,25,28
133,922,17,20
134,745,17,5
135,42,58,4
136,274,35,22
137,46,36,15
138,324,13,24
139,355,7,7
140,180,46,13
141,910,33,22
142,886,22,10
143,572,46,16
144,767,2,28
145,274,36,19
146,558,44,7
147,755,39,26
148,403,23,22
149,464,48,4
150,33,52,22
151,681,55,26
152,925,46,9
153,901,20,8
154,92,60,4
155,850,32,2
156,9,49,14
157,49,33,22
158,330,34,2
159,109,42,18
160,689,55,16
161,547,33,17
162,729,6,4
163,575,38,6
164,492,55,17
165,320,29,10
166,102,39,24
167,450,4,11
168,252,1,20
169,533,2,7
170,497,30,1
171,464,19,12
172,736,11,26
173,789,6,11
174,917,60,12
175,132,12,18
176,430,58,21
177,278,47,8
178,21,32,19
179,599,5,23
180,730,15,4
181,113,40,24
182,87,30,22
183,835,47,27
184,121,59,4
185,24,46,26
186,540,19,14
187,124,4,5
188,86,6,6
189,234,5,27
190,999,57,19
191,225,47,8
192,311,6,25
193,566,34,5
194,668,59,4
195,893,29,6
196,384,50,2
197,370,35,11
198,263,48,4
199,162,37,18
200,837,40,2
201,472,42,2
202,428,15,22
203,554,33,2
204,255,17,1
205,841,14,13
206,490,34,3
207,986,34,28
208,220,53,21
209,408,58,4
210,10,20,1
211,856,47,9
212,439,13,2
213,379,23,2
214,673,15,28
215,54,57,3
216,67,30,1
217,192,5,6
218,612,42,4
219,770,50,27
220,280,5,14
221,985,34,15
222,522,59,17
223,920,36,10
224,274,35,2
225,431,2,20
226,558,19,19
227,230,7,24
228,937,56,13
229,54,45,10
230,683,17,20
231,331,3,7
232,428,26,21
233,295,39,12
234,529,29,26
235,554,3,22
